guest_id,spa_affinity_score,adventure_affinity_score,culture_affinity_score,dining_affinity_score,travel_type,budget_segment,stay_duration_days,weather_condition,rain_probability,event_category,event_popularity_score,event_indoor_flag,attraction_rating,seasonal_tourism_index,weather_activity_match,event_preference_alignment,overall_experience_score,recommended_experience,temperature
1505,0.463832189131498,0.7474345992650068,0.064808324382193,0.978550969909429,Family,Mid-range,11,Snowy,20,Music Festival,73,0,3.7,39,0.669491550644184,0.4111644611033633,27,Adventure Trek,37.0
1506,0.5929956497471341,0.0369093089098351,0.1642427980207927,0.9133381428408032,Solo,Mid-range,10,Cloudy,74,Food Carnival,51,1,4.8,51,0.2276093870353718,0.3511499839118808,93,Spa Package,16.0
1507,0.1959373046479823,0.4102438781829651,0.7179319806130758,0.8022893685135022,Solo,Mid-range,3,Sunny,34,Food Carnival,50,1,3.8,31,0.2418447041356858,0.7363850682144603,58,Food Experience,18.0
1508,0.0735126498305462,0.9131315554597728,0.2765207809359933,0.1728797541738687,Couple,Luxury,4,Sunny,94,Wellness Expo,47,1,4.2,29,0.2625377041548741,0.2430747113854764,75,Indoor Wellness Retreat,26.0
1509,0.1828574148985919,0.6156477434569799,0.097268365375299,0.0149275339414309,Solo,Luxury,11,Snowy,92,Cultural Fair,90,1,4.1,71,0.5300943906307078,0.2658364986658168,29,Cultural Museum Visit,24.0
1510,0.2354237833495708,0.4163488871933565,0.3698490793338193,0.6550235877079618,Business,Budget,13,Cloudy,77,Food Carnival,20,0,4.9,41,0.4472510601274055,0.7382788537915752,96,Adventure Trek,12.0
1511,0.2132432069655191,0.8091011694304333,0.2007042356757079,0.3806958966367215,Family,Budget,6,Sunny,23,Cultural Fair,65,1,4.1,85,0.803489208027156,0.4040538067947017,80,Adventure Trek,13.0
1512,0.1584753389587088,0.3885272137789067,0.1187674565210118,0.7358999010993151,Solo,Budget,14,Sunny,6,Food Carnival,92,1,4.8,82,0.4775288935181863,0.6913904742524597,74,Indoor Wellness Retreat,38.0
1513,0.7752604680022371,0.4318613770079023,0.5077365222775475,0.632418055726791,Solo,Budget,11,Cloudy,24,Wellness Expo,53,0,3.8,7,0.9647306676249922,0.187976595201704,10,Adventure Trek,26.0
1514,0.0735026028060976,0.0428694254536842,0.1637293793962058,0.8656422076457936,Business,Budget,6,Rainy,85,Food Carnival,77,0,3.5,7,0.7964643365314337,0.379300358457896,69,City Tour,30.0
1515,0.8415068911393568,0.25354818895215,0.173055060285588,0.4643077166214431,Solo,Luxury,2,Cloudy,39,Cultural Fair,88,0,4.8,59,0.1254329342996463,0.6122256928946114,96,Adventure Trek,26.0
1516,0.9964062070562334,0.5184612331094133,0.0913839425491583,0.9439844074600824,Couple,Budget,12,Cloudy,10,Music Festival,31,0,4.6,60,0.6753157993379857,0.0967018491852549,45,Cultural Museum Visit,10.0
1517,0.851238594487845,0.0834716417821773,0.8324352325378789,0.7191056656752719,Family,Mid-range,12,Sunny,98,Cultural Fair,60,0,4.3,49,0.5490294636661663,0.0136169522658238,99,Spa Package,37.0
1518,0.8241126299986579,0.6895551596380065,0.6633564768170692,0.2198824584896009,Solo,Mid-range,12,Snowy,49,Music Festival,79,1,4.3,26,0.873943283179817,0.4038975207808121,46,Cultural Museum Visit,18.0
1519,0.1893869407492615,0.5786311758639597,0.6013832687567381,0.9249576543842198,Solo,Mid-range,14,Snowy,74,Music Festival,78,0,4.7,79,0.4146770455089801,0.5079200430841918,16,Indoor Wellness Retreat,13.0
1520,0.2514066407556662,0.1891575849122907,0.4298798809965503,0.512115629776737,Family,Luxury,11,Snowy,81,Cultural Fair,34,0,3.7,87,0.0955891857100612,0.3846993827306968,30,Cultural Museum Visit,38.0
1521,0.7729062380060738,0.7330978266292896,0.3739471427380224,0.1753301407012433,Solo,Budget,4,Cloudy,18,Cultural Fair,71,1,3.6,6,0.1268042103063253,0.2659262610717475,43,Indoor Wellness Retreat,10.0
1522,0.0918883208678027,0.1627592333747128,0.7434460652202834,0.8420125606357655,Family,Budget,7,Cloudy,55,Sports Event,39,1,3.5,83,0.3079316338849346,0.2471651516353231,38,Spa Package,13.0
1523,0.8491442617363973,0.2509399834954736,0.2136745901871003,0.0519928272857884,Couple,Luxury,14,Snowy,38,Sports Event,22,1,3.8,0,0.0030834123534356,0.928781964951966,37,Spa Package,12.0
1524,0.2795728901552008,0.2985402355452523,0.1988626875371713,0.1200034712195869,Couple,Luxury,3,Snowy,34,Cultural Fair,55,0,4.1,13,0.6313383961296323,0.1316919511566971,71,Food Experience,26.0
1525,0.7497468283482797,0.7553144701907916,0.6217545063498636,0.2773679614403772,Business,Budget,2,Snowy,12,Music Festival,87,1,4.2,96,0.9539895557493532,0.8052048961283245,71,Indoor Wellness Retreat,17.0
1526,0.4231107368820437,0.4310199118285643,0.9160647851925418,0.9735163481092745,Solo,Luxury,1,Sunny,34,Wellness Expo,97,0,4.5,90,0.5320495488918626,0.3531700020035685,9,Adventure Trek,22.0
1527,0.5498203837561748,0.1512945561089972,0.7038331702580511,0.7127379134216968,Solo,Luxury,9,Cloudy,20,Wellness Expo,64,1,4.5,7,0.5832286302655677,0.3601749582874234,30,Adventure Trek,37.0
1528,0.3993458115137034,0.0718766354384417,0.6132658276835917,0.4447391039810474,Solo,Mid-range,5,Snowy,91,Music Festival,64,0,3.6,84,0.238837379208368,0.48932125017848,91,Spa Package,17.0
1529,0.8977498821318233,0.5441775519729752,0.0138162487386909,0.7766315261841358,Business,Mid-range,6,Sunny,0,Sports Event,60,0,4.7,6,0.7325934930185577,0.2787572113338008,80,Food Experience,14.0
1530,0.5177574878953743,0.5223033155109725,0.5161286263688629,0.1864075268103667,Family,Mid-range,8,Sunny,31,Music Festival,21,0,4.6,81,0.5570414231364649,0.0431471486712669,78,Cultural Museum Visit,13.0
1531,0.0373373050067453,0.2065212935522467,0.9073674870596128,0.0018071762006045,Business,Mid-range,3,Snowy,69,Food Carnival,80,1,4.5,65,0.4517009543942752,0.6163227742794319,11,Adventure Trek,11.0
1532,0.1902343700869311,0.8208331732046652,0.1421560350097086,0.732904981311779,Solo,Mid-range,5,Sunny,15,Food Carnival,12,0,4.0,49,0.5680285682046478,0.8232655369652269,49,Adventure Trek,25.0
1533,0.7665077092585798,0.0952428364445008,0.358283447050899,0.1648171163201489,Family,Budget,10,Snowy,68,Music Festival,99,0,3.6,56,0.7429838645322474,0.2514799092745197,93,Food Experience,10.0
1534,0.5346212810176153,0.0607850917308679,0.99870913612408,0.0323974413188175,Solo,Mid-range,14,Snowy,17,Cultural Fair,6,1,4.6,63,0.7021607835734326,0.9068473685020974,16,Cultural Museum Visit,13.0
1535,0.2667948304548619,0.6025630121628329,0.2396561498632431,0.8802729450745996,Family,Mid-range,14,Sunny,80,Sports Event,25,0,4.9,23,0.9626528179856936,0.1724420532800034,21,Cultural Museum Visit,14.0
1536,0.9915084622746546,0.142215378813559,0.586153139944564,0.311680990602074,Couple,Budget,4,Snowy,12,Sports Event,23,1,4.9,88,0.4843064403602294,0.9765469630623528,5,Indoor Wellness Retreat,14.0
1537,0.701165873780467,0.5001098206103841,0.2254036795049782,0.636819766566899,Solo,Mid-range,3,Cloudy,14,Wellness Expo,69,0,3.9,76,0.7964810650530125,0.1843874142515428,66,Adventure Trek,29.0
1538,0.1697487557190984,0.1656778771140605,0.6094487143919891,0.5773935944612694,Couple,Mid-range,14,Cloudy,78,Music Festival,24,0,3.9,84,0.0789779330312508,0.1977683816681289,85,Food Experience,15.0
1539,0.4929018472133309,0.5080277994172081,0.984531889064348,0.0728602797081394,Solo,Mid-range,1,Cloudy,67,Cultural Fair,65,1,3.7,48,0.3399144362500048,0.8434821782702855,68,Indoor Wellness Retreat,28.0
1540,0.7540636904424247,0.2393085576455806,0.5841584432282705,0.0089617500018329,Business,Budget,10,Cloudy,2,Music Festival,48,0,4.9,6,0.6319690972069166,0.5660073310246477,42,Indoor Wellness Retreat,28.0
1541,0.4969438673417019,0.72469206111795,0.1023480085806665,0.9762246785837831,Solo,Budget,4,Snowy,71,Sports Event,99,1,4.1,41,0.8318052681267595,0.7874318006948695,15,Cultural Museum Visit,25.0
1542,0.4976805205459642,0.8850386093921312,0.6118696231396016,0.4902661527973038,Couple,Luxury,9,Rainy,85,Music Festival,81,1,5.0,28,0.2163968527246916,0.6283624085863733,56,Adventure Trek,21.0
1543,0.7164485128782548,0.4179674688519904,0.9075357838539306,0.9030693280814596,Business,Budget,5,Cloudy,32,Music Festival,31,1,4.2,86,0.1598122322120393,0.2255870043397457,17,Cultural Museum Visit,26.0
1544,0.4260457985440753,0.0056396976745756,0.0836696175698874,0.4274350328054921,Business,Mid-range,6,Sunny,58,Wellness Expo,34,0,4.9,19,0.9521942971370112,0.6582866258314439,1,City Tour,26.0
1545,0.3997355580881957,0.2655253343375641,0.419586649078857,0.8625546191177907,Family,Luxury,6,Snowy,16,Food Carnival,72,0,3.5,63,0.1470965669981591,0.1152876204010681,35,Indoor Wellness Retreat,36.0
1546,0.4400867789056308,0.9743794786666208,0.0090398633589973,0.608228737323198,Family,Budget,2,Cloudy,31,Food Carnival,2,0,3.9,83,0.663008662552653,0.509115708002504,46,Spa Package,36.0
1547,0.2548128458694263,0.5393614434097355,0.0632060587835848,0.7013088074939697,Business,Luxury,6,Sunny,72,Sports Event,4,1,4.0,22,0.3244492017859324,0.3273009890003587,38,Spa Package,37.0
1548,0.3343816511248116,0.2373398849273402,0.4514619431493654,0.1025277479218135,Solo,Budget,7,Snowy,28,Wellness Expo,44,1,3.6,93,0.2103286976647942,0.545706304739855,49,Indoor Wellness Retreat,38.0
1549,0.0251812070889883,0.2742594321844087,0.0132589629349667,0.9271350556422796,Family,Budget,7,Rainy,84,Cultural Fair,77,1,4.8,74,0.7012995488465127,0.6767418131845764,10,City Tour,31.0
1550,0.8442304880195576,0.6365734255676079,0.248450387042207,0.7762103547741241,Business,Budget,12,Rainy,14,Cultural Fair,25,1,3.9,30,0.3816123554708851,0.1075841027095723,62,Spa Package,10.0
1551,0.0286667555221135,0.446953626180344,0.6619582804572748,0.3515274105865661,Solo,Mid-range,2,Cloudy,80,Cultural Fair,49,0,4.5,25,0.4384970313637507,0.993513899533059,90,Cultural Museum Visit,21.0
1552,0.4767442043474392,0.758532824652609,0.0298223691356345,0.2964357674903607,Family,Mid-range,3,Snowy,12,Wellness Expo,34,1,4.0,48,0.9454740459925676,0.1329634307720661,54,Adventure Trek,10.0
1553,0.7037131241824891,0.2653065210687935,0.8211749904077084,0.2153192128751666,Family,Mid-range,11,Rainy,49,Music Festival,17,1,4.1,22,0.354208127039348,0.2697342898641875,34,Adventure Trek,14.0
1554,0.4779452306844273,0.6458113376917796,0.1617737561408577,0.135094598772528,Solo,Luxury,8,Cloudy,54,Sports Event,58,1,4.3,13,0.0641381963751747,0.1803732275321511,63,Cultural Museum Visit,26.0
1555,0.8182920162244076,0.8420497069073937,0.4656814823045008,0.6367177316485226,Couple,Mid-range,10,Cloudy,68,Food Carnival,43,0,4.3,56,0.5727881575060143,0.8561744082266136,18,Adventure Trek,15.0
1556,0.5995498185539695,0.6338519396920471,0.4222826013185412,0.2355692002541346,Couple,Luxury,13,Cloudy,8,Wellness Expo,42,1,4.9,39,0.2694980845962818,0.3492273601379622,8,Indoor Wellness Retreat,27.0
1557,0.1937334382301645,0.2931360748209046,0.4383794614203631,0.2943721949389135,Business,Luxury,14,Cloudy,8,Food Carnival,77,1,4.9,72,0.8747295797495876,0.8550769792246077,44,Indoor Wellness Retreat,24.0
1558,0.5176934139534453,0.9424438105084052,0.932543401695343,0.9758142657379338,Family,Budget,2,Rainy,70,Wellness Expo,0,1,4.0,32,0.5517399471307749,0.2460974157201433,29,Cultural Museum Visit,16.0
1559,0.1010281921841079,0.675600987514674,0.8062391565599886,0.3851686588693849,Solo,Luxury,11,Rainy,71,Music Festival,18,0,4.5,79,0.7286575687914835,0.4547941658332075,12,Spa Package,12.0
1560,0.2411724702704409,0.3820153890316543,0.7825513188301211,0.4325671596330631,Couple,Budget,6,Rainy,37,Music Festival,28,1,5.0,68,0.9369521608167396,0.8763893829522539,10,Food Experience,10.0
1561,0.4561298966127375,0.7940744815843467,0.0861669158290961,0.8542158992157132,Solo,Budget,1,Snowy,94,Cultural Fair,72,0,4.9,95,0.309094803050805,0.1338847998695513,61,City Tour,34.0
1562,0.7530216976588654,0.1215708435019621,0.2403841585835986,0.3909136661026853,Business,Budget,3,Rainy,54,Wellness Expo,6,0,4.1,30,0.6732857552392026,0.4395506973642757,28,Spa Package,26.0
1563,0.1265821555142945,0.2997512565161111,0.4072815782201929,0.880566662270673,Family,Budget,9,Sunny,46,Sports Event,98,0,3.6,16,0.2069980340089496,0.8246053446140361,26,Indoor Wellness Retreat,12.0
1564,0.5245225336609408,0.7984744430726466,0.9107424503820596,0.311976970901752,Business,Luxury,1,Cloudy,9,Wellness Expo,54,1,4.7,7,0.2529345927929975,0.9674894004241466,50,Cultural Museum Visit,33.0
1565,0.6926592260480877,0.9260363508322552,0.7624140415193317,0.1208941804801208,Solo,Budget,7,Rainy,64,Sports Event,61,0,4.9,0,0.1130398387643077,0.0086796156134312,69,Food Experience,21.0
1566,0.0561891954686428,0.1074121588219678,0.845012452764375,0.8544601757010074,Family,Luxury,3,Rainy,41,Music Festival,15,1,4.3,69,0.5443673461742402,0.0136944739838203,9,Spa Package,25.0
1567,0.7866735209298875,0.8945013873631497,0.7524035143550896,0.2961091182658822,Business,Luxury,7,Cloudy,24,Sports Event,11,0,3.8,0,0.1084683548199747,0.433975489487206,46,Indoor Wellness Retreat,32.0
1568,0.959070631363532,0.3167658931603563,0.8811441856153305,0.355992254831435,Solo,Mid-range,13,Sunny,49,Wellness Expo,54,1,3.8,62,0.7881818921424756,0.9200236773824572,85,City Tour,21.0
1569,0.5904947778956317,0.5294242217266386,0.1359182906565254,0.1846676644394705,Couple,Mid-range,1,Rainy,55,Music Festival,33,1,4.7,24,0.6598142124539372,0.6006871554151046,75,Adventure Trek,12.0
1570,0.8122174589049744,0.921425387425176,0.016697561357728,0.5309528777657184,Couple,Luxury,1,Sunny,85,Food Carnival,30,1,4.4,31,0.938515555732743,0.5108174060567012,33,Cultural Museum Visit,28.0
1571,0.942622610314983,0.6656275886719987,0.884729856741584,0.9852348440294878,Couple,Luxury,14,Rainy,83,Wellness Expo,40,0,5.0,91,0.7633397733152967,0.3772671914174328,69,Spa Package,33.0
1572,0.3699521714683246,0.7081059942328964,0.7305707056232289,0.1993539822076061,Couple,Mid-range,7,Cloudy,9,Food Carnival,44,1,4.3,47,0.3643028162678358,0.4898743525339447,67,Spa Package,30.0
1573,0.5641505836149291,0.8506619742700613,0.0795456121254459,0.353803927152111,Couple,Mid-range,11,Sunny,90,Cultural Fair,12,0,3.9,61,0.7795696456816329,0.3528084482688856,34,City Tour,16.0
1574,0.0010854121355767,0.060396005273296,0.6510159134877234,0.6322106508057993,Solo,Mid-range,14,Sunny,81,Sports Event,22,1,4.0,52,0.1756026631269309,0.3036740094844661,63,Indoor Wellness Retreat,11.0
1575,0.93578788019604,0.7399033686433352,0.7856104954478126,0.9899609446198314,Family,Mid-range,12,Snowy,97,Food Carnival,91,0,4.2,94,0.1546583793435577,0.6984777177487534,80,Adventure Trek,16.0
1576,0.9423235279620424,0.3063794296108292,0.9805886163451458,0.9320572836894492,Solo,Budget,8,Cloudy,26,Music Festival,63,0,3.8,53,0.5535218409808064,0.247245541702648,10,Adventure Trek,38.0
1577,0.3912753100172408,0.1891821577207858,0.6107901578870607,0.1177795499349833,Family,Mid-range,10,Cloudy,55,Music Festival,35,1,4.5,98,0.272924394884814,0.866821134029645,22,Adventure Trek,39.0
1578,0.4642347730985511,0.5477125623200348,0.5787629958305444,0.9719921837874416,Family,Budget,4,Sunny,50,Cultural Fair,61,1,3.6,55,0.1303047554681949,0.9652810433431692,94,City Tour,25.0
1579,0.6462675635582998,0.6596174976613487,0.1727571295314888,0.8921190442670109,Solo,Budget,3,Cloudy,28,Cultural Fair,92,1,3.9,1,0.2578460829400254,0.7460143631189523,39,Cultural Museum Visit,35.0
1580,0.8075227509414199,0.2883897456675725,0.4358469592995289,0.770167509747301,Business,Mid-range,12,Cloudy,11,Wellness Expo,48,0,4.9,32,0.5404660584977838,0.4391424818732279,67,Adventure Trek,11.0
1581,0.3613798214754311,0.5849170062150875,0.1875778525930556,0.1317128148992129,Business,Mid-range,9,Rainy,73,Food Carnival,76,0,4.5,58,0.7331149128682395,0.76805033841922,92,Adventure Trek,23.0
1582,0.4748938576334026,0.7166745064310982,0.3320052346481398,0.6929996751401595,Business,Budget,1,Snowy,99,Cultural Fair,79,1,4.8,54,0.389449309824397,0.979647178494235,28,Cultural Museum Visit,28.0
1583,0.9577808240080654,0.3866695475818829,0.5023088407374228,0.2050732396826273,Couple,Budget,12,Sunny,87,Food Carnival,48,1,4.0,58,0.2326039320563842,0.4008142707800084,92,Cultural Museum Visit,29.0
1584,0.3928044383524463,0.1069139687089634,0.4795179684582471,0.1973273345868806,Family,Budget,2,Sunny,91,Wellness Expo,54,1,4.0,67,0.2907700964307719,0.4196669052689713,78,Indoor Wellness Retreat,21.0
1585,0.8056037669179421,0.4756812336226232,0.0063287530080169,0.0312835428495894,Solo,Luxury,3,Snowy,37,Food Carnival,74,1,4.1,90,0.4450915464154645,0.1566492528824988,77,Indoor Wellness Retreat,33.0
1586,0.1608534686257954,0.2699373650301651,0.4278412776474914,0.9567755045553282,Business,Budget,1,Cloudy,40,Wellness Expo,84,1,4.8,74,0.4800602990596334,0.4304486709408784,67,Indoor Wellness Retreat,26.0
1587,0.822588912271906,0.3609701720439723,0.465426299474211,0.1512377459284229,Family,Mid-range,7,Cloudy,64,Music Festival,55,0,4.4,75,0.6422375024117952,0.0882644136122873,14,City Tour,13.0
1588,0.5346264732432516,0.476461509009856,0.6165500283330613,0.2188691362634132,Solo,Luxury,4,Cloudy,44,Sports Event,49,1,4.0,27,0.900857320056579,0.2180798228732451,22,Food Experience,18.0
1589,0.4603384352890434,0.5364500833551603,0.206537297955161,0.3865757218376837,Couple,Budget,11,Rainy,82,Music Festival,78,0,4.7,85,0.6717552063431725,0.187749127511178,6,Adventure Trek,35.0
1590,0.0318369156812642,0.3362657952913742,0.1967518819156086,0.2026594021455956,Solo,Mid-range,2,Rainy,18,Wellness Expo,26,0,4.7,95,0.9134132619124724,0.4229093664718931,90,Cultural Museum Visit,17.0
1591,0.9003630200609387,0.2399665132412277,0.5418627410967406,0.5404499006050859,Business,Budget,12,Snowy,92,Wellness Expo,72,0,4.6,47,0.777005694404245,0.3268139052561398,36,City Tour,23.0
1592,0.8172667009264777,0.8866730261734851,0.8241506286054847,0.0845110032738467,Couple,Mid-range,7,Sunny,41,Food Carnival,20,0,4.2,43,0.1276221553499239,0.9741653098550134,93,Spa Package,27.0
1593,0.5961688671841062,0.1419626110217406,0.4777464203746925,0.2536345460574648,Business,Mid-range,11,Sunny,44,Food Carnival,5,0,4.5,77,0.1561182137762463,0.7479408259062045,95,Food Experience,29.0
1594,0.7458824835515785,0.7086089974833537,0.993069576802578,0.1839123169556553,Couple,Budget,4,Sunny,47,Music Festival,10,0,3.9,70,0.8038047983548362,0.1413246857510622,76,Food Experience,27.0
1595,0.5400736596046196,0.716743635739982,0.0697355695727079,0.9645202060638216,Couple,Budget,14,Sunny,47,Music Festival,64,1,3.6,22,0.0181386247326299,0.7441236799303282,69,Spa Package,26.0
1596,0.6072023445198806,0.4139723394482449,0.3681726917485619,0.9945278924314148,Couple,Luxury,3,Rainy,13,Food Carnival,0,0,4.4,19,0.4611238195643999,0.0497046282732372,15,Indoor Wellness Retreat,39.0
1597,0.4776274331483404,0.8877684667907703,0.9810749022744828,0.1127813835294216,Couple,Luxury,14,Sunny,44,Food Carnival,1,0,4.6,73,0.9899162817729708,0.9093278271491269,76,Spa Package,24.0
1598,0.5184176704707868,0.7562602135981533,0.0096045532057832,0.3166061230476515,Business,Luxury,4,Rainy,35,Food Carnival,81,1,3.6,30,0.5760815640317127,0.5864034122191408,32,Spa Package,32.0
1599,0.0694577477679504,0.576796374907192,0.753004091290401,0.3193769386985161,Business,Budget,1,Rainy,47,Music Festival,1,1,4.1,84,0.6089861837219227,0.4059842869353592,63,Cultural Museum Visit,16.0
1600,0.4682194940467362,0.9860725729473128,0.2322996653070929,0.5265363665150028,Business,Budget,2,Rainy,13,Wellness Expo,98,1,4.4,36,0.1726563931693534,0.90820158885446,9,Adventure Trek,35.0
1601,0.9176395288972138,0.3857377511732374,0.9137649029552606,0.3823321094043092,Business,Mid-range,8,Snowy,57,Music Festival,62,1,4.0,43,0.7682337745056038,0.0493099407700741,23,City Tour,29.0
1602,0.9819951481617972,0.8351424143027613,0.868388061247496,0.0699711528577282,Solo,Budget,9,Cloudy,91,Sports Event,29,1,4.9,38,0.6580517376200485,0.3528444723857772,56,Spa Package,37.0
1603,0.7411533750676894,0.0759373608573161,0.568269564371825,0.1636005239253218,Business,Luxury,2,Sunny,35,Cultural Fair,61,0,3.7,21,0.0144732374383617,0.2531604269592478,83,Cultural Museum Visit,16.0
1604,0.1738720374243231,0.0207022101598267,0.1815386593384019,0.498456789697889,Business,Budget,12,Snowy,26,Wellness Expo,58,1,4.8,64,0.6527878307093055,0.9923288489432432,39,Spa Package,13.0
1605,0.1764263557756895,0.646383729745728,0.2165735554773511,0.232204165094439,Couple,Mid-range,9,Snowy,79,Cultural Fair,88,0,3.6,43,0.8078928713618885,0.2431970658111217,4,Cultural Museum Visit,25.0
1606,0.5790755881187835,0.6482222732217633,0.8297991035983856,0.1348341886172885,Couple,Luxury,1,Rainy,55,Cultural Fair,81,0,3.6,65,0.4018241455100434,0.2590981818710658,20,Cultural Museum Visit,14.0
1607,0.3270829002184744,0.4104673411578309,0.1253234605027428,0.5954015971771045,Couple,Mid-range,14,Rainy,23,Cultural Fair,87,0,3.9,41,0.6595573816442102,0.5575125921451047,51,Adventure Trek,21.0
1608,0.771084511197489,0.7601818627781024,0.1867178465629408,0.1684677874782872,Couple,Budget,1,Rainy,87,Music Festival,18,0,4.4,35,0.598502003345357,0.766559060074698,69,Spa Package,19.0
1609,0.378294088017316,0.4600781625642641,0.5769970542815246,0.6895315377649792,Business,Luxury,11,Rainy,81,Sports Event,68,0,4.0,13,0.0751965775841181,0.0312446182920678,94,Spa Package,17.0
1610,0.6932721601128865,0.9655630284183452,0.1090918620367286,0.2620958456730452,Couple,Budget,14,Sunny,53,Sports Event,15,1,4.0,92,0.3873088293293901,0.3959485116575427,76,Spa Package,23.0
1611,0.4531736325584663,0.5829612798061123,0.5186118927827744,0.8204237389933872,Solo,Budget,1,Rainy,25,Wellness Expo,47,1,4.7,4,0.6656078185217896,0.8578833055685103,54,Cultural Museum Visit,27.0
1612,0.280893459452342,0.948882844703306,0.1221791698755265,0.1598237450582297,Business,Luxury,3,Rainy,48,Food Carnival,68,1,4.2,6,0.5872990232269759,0.5727375606937402,85,Spa Package,11.0
1613,0.9593379066726152,0.876069190576516,0.8917743118096374,0.6404151277417581,Business,Budget,5,Rainy,98,Wellness Expo,14,1,4.8,31,0.1704090579690189,0.3449444363420688,92,Adventure Trek,28.0
1614,0.7675629969407697,0.5028867970051291,0.3763484973887101,0.2955916825523115,Solo,Mid-range,10,Snowy,33,Cultural Fair,28,0,4.0,99,0.1312238048314312,0.6009875938794623,19,Spa Package,26.0
1615,0.3527777510713453,0.4268514167878872,0.9171517329626367,0.6559313488856894,Business,Luxury,6,Snowy,1,Cultural Fair,72,1,4.3,27,0.9178474198801296,0.24052100658225,15,City Tour,32.0
1616,0.1649557427190701,0.2608640091143727,0.1321658333027746,0.164770227716366,Family,Budget,14,Snowy,25,Sports Event,66,1,4.1,84,0.4388865964580251,0.8880337606567412,65,Spa Package,11.0
1617,0.0050281957857802,0.8533713751978661,0.9489659010127828,0.3033382035850241,Couple,Luxury,1,Cloudy,90,Food Carnival,14,0,3.7,21,0.3858343612495308,0.1627158830437415,70,Adventure Trek,29.0
1618,0.6497912183910114,0.9914180291612952,0.5705881899635123,0.4114927258138507,Business,Mid-range,2,Rainy,3,Cultural Fair,76,0,4.9,41,0.2047215960526711,0.9165903282817208,4,Spa Package,19.0
1619,0.1703859583808568,0.8016608909208011,0.2630309058416648,0.7521590221608253,Business,Mid-range,1,Snowy,39,Music Festival,69,0,4.4,14,0.3860751815998035,0.494976642110797,60,Indoor Wellness Retreat,28.0
1620,0.629575218446134,0.8387277012359055,0.635111989234813,0.3809020437665091,Solo,Luxury,3,Cloudy,32,Food Carnival,25,1,4.5,13,0.3556252864881809,0.1937832445340723,96,Spa Package,28.0
1621,0.3590769491459611,0.6778516905423713,0.4875640149103872,0.5997129619190604,Couple,Luxury,6,Sunny,18,Wellness Expo,69,1,3.5,15,0.3751585510473968,0.6922922468389765,1,Adventure Trek,26.0
1622,0.0891685045074277,0.1632555629017043,0.0919803322810655,0.5555612868244624,Family,Mid-range,13,Snowy,12,Sports Event,26,0,3.7,2,0.6459532620980996,0.9116897916597604,84,Adventure Trek,27.0
1623,0.7895520126806541,0.511240383700223,0.0361441888186572,0.5552124967392874,Solo,Budget,4,Cloudy,19,Food Carnival,27,0,4.5,75,0.5307374348811078,0.8190649704470494,61,Spa Package,28.0
1624,0.3417407035767177,0.9710020086866846,0.3927539014454884,0.6702502894209669,Solo,Mid-range,4,Rainy,81,Cultural Fair,37,0,3.8,39,0.8324324034849199,0.7400543727837811,37,City Tour,25.0
1625,0.8768898954062183,0.2619501203207933,0.9456277585505866,0.570233649877158,Family,Mid-range,2,Rainy,93,Food Carnival,62,1,5.0,37,0.6430735174786459,0.5773556343835996,73,Adventure Trek,21.0
1626,0.6948460084117193,0.4633412545725835,0.2295900617570327,0.148864947920654,Business,Luxury,3,Cloudy,85,Food Carnival,22,1,4.8,45,0.641713636479726,0.4973689920651658,42,Food Experience,20.0
1627,0.1043643166652262,0.6860361651693795,0.3952107182032546,0.6655393782913923,Family,Luxury,7,Sunny,24,Sports Event,45,1,4.2,60,0.6210973960211578,0.7032203824861456,83,Cultural Museum Visit,38.0
1628,0.9324140127946272,0.034178130886194,0.2620669052197997,0.3537013763920901,Family,Mid-range,3,Sunny,27,Cultural Fair,97,0,3.7,36,0.1460741565422719,0.4940676922703882,68,City Tour,16.0
1629,0.5565394736992938,0.3687401936846454,0.4149610171998203,0.4156639590903207,Business,Budget,8,Sunny,56,Wellness Expo,47,0,4.1,99,0.3730589341735182,0.308050778344565,42,Adventure Trek,35.0
1630,0.930470440411045,0.5821542018017715,0.0458446919551589,0.6088214776741226,Family,Mid-range,3,Cloudy,67,Food Carnival,81,0,4.2,8,0.7740541548488982,0.0561179428887083,65,Indoor Wellness Retreat,29.0
1631,0.8301106640879977,0.9630083846814624,0.1872902188407565,0.5156908693522622,Business,Luxury,12,Snowy,98,Music Festival,58,0,4.5,93,0.3633792717771072,0.2734644557803487,62,City Tour,14.0
1632,0.3222892121281863,0.3029822512896732,0.9515239637815914,0.9622837371695346,Couple,Luxury,13,Snowy,75,Wellness Expo,33,1,3.8,67,0.1483990162032086,0.8294651720718751,54,Indoor Wellness Retreat,16.0
1633,0.995561170589986,0.2742745118660085,0.6487505296139846,0.3322133963866516,Business,Budget,6,Sunny,88,Music Festival,36,0,4.9,28,0.4021198910774057,0.2846663118547818,40,Cultural Museum Visit,16.0
1634,0.0198982307164189,0.4749312112412374,0.5317504943384587,0.4018922042994749,Solo,Luxury,12,Rainy,30,Food Carnival,46,0,5.0,79,0.4755900843694052,0.8265112255816086,10,Food Experience,25.0
1635,0.3654932737557888,0.9734590891126264,0.9858596421532184,0.551100290109438,Solo,Budget,12,Cloudy,37,Music Festival,29,0,4.6,6,0.5393424493453017,0.3319789107975653,74,Indoor Wellness Retreat,28.0
