guest_id,spa_affinity_score,adventure_affinity_score,culture_affinity_score,dining_affinity_score,travel_type,budget_segment,stay_duration_days,weather_condition,temparature,rain_probability,event_category,event_popularity_score,event_indoor_flag,attraction_rating,seasonal_tourism_index,weather_activity_match,event_preference_alignment,overall_experience_score,recommended_experience,temperature
1035,0.37793369291919965,0.280062876582326,0.5997953678255914,0.09348503897469551,Couple,Mid-range,12,Cloudy,,24,Wellness Expo,9,1,4.7,28,0.2323062341062685,0.21716734711537578,42,Indoor Wellness Retreat,37.0
1036,0.6601584055623045,0.8747136635147363,0.42169635445091835,0.7487705855821383,Business,Budget,6,Snowy,,48,Wellness Expo,16,1,3.9,73,0.11811599704526332,0.21462225150016667,82,Indoor Wellness Retreat,13.0
1037,0.32956187144655,0.8592757105964542,0.644935339920117,0.020339403841230563,Solo,Luxury,7,Snowy,,69,Sports Event,94,1,4.9,5,0.7905931057930716,0.11054644222576926,36,Food Experience,23.0
1038,0.16430895982127813,0.5745970680376556,0.20093101329077168,0.49989944633924355,Family,Luxury,3,Sunny,,95,Food Carnival,56,0,4.6,11,0.28427677031718857,0.17821551388557255,47,Adventure Trek,22.0
1039,0.05282477318911449,0.2893668528839701,0.5063906061568246,0.2857087871581345,Business,Luxury,12,Snowy,,73,Wellness Expo,17,1,3.9,24,0.9947966448774398,0.7879123801300466,7,Indoor Wellness Retreat,10.0
1040,0.005149622421921518,0.2828724609865233,0.5164637066334019,0.2414378079093208,Solo,Luxury,14,Snowy,,47,Cultural Fair,68,0,5.0,30,0.7485861702966681,0.7822843667721429,52,Food Experience,21.0
1041,0.1478506451885614,0.39128043211921604,0.07727632460631051,0.19844135215316516,Business,Budget,12,Cloudy,,99,Sports Event,16,0,4.7,81,0.6091917490724473,0.38611181770458447,99,Spa Package,11.0
1042,0.047439468163539944,0.494313773170615,0.7674594773790964,0.7374924817740948,Couple,Budget,8,Rainy,,4,Sports Event,87,0,4.5,21,0.581853286788184,0.4683771542940045,94,Food Experience,18.0
1043,0.07024853479119697,0.9230782677416068,0.13269347602264503,0.22774725615465086,Couple,Budget,6,Snowy,,39,Sports Event,31,1,4.6,74,0.06014857940613172,0.6689455408320967,40,Food Experience,32.0
1044,0.8071351898768934,0.756075713491712,0.0442191846621659,0.4616596456384203,Couple,Luxury,10,Rainy,,24,Sports Event,16,1,4.4,50,0.8702165205560759,0.9770441144081216,70,City Tour,17.0
1045,0.5758529452858676,0.10500752628033283,0.3726388104568743,0.2608689620833984,Couple,Budget,13,Sunny,,86,Food Carnival,20,1,4.0,48,0.5774354391283003,0.7745497997822685,74,Adventure Trek,36.0
1046,0.6506770178908299,0.7738314051823353,0.7628814246042618,0.5298788056910818,Business,Luxury,2,Rainy,,63,Cultural Fair,54,0,4.9,95,0.18648793471572223,0.08207900258463163,14,Indoor Wellness Retreat,31.0
1047,0.4096911399419384,0.87349073956767,0.10365035714440785,0.27262404347748537,Business,Mid-range,1,Snowy,,1,Music Festival,5,0,4.0,23,0.4705116046597604,0.8755395107070071,6,City Tour,10.0
1048,0.9092944123699617,0.864468148573455,0.9754714858484693,0.6466012669432046,Business,Luxury,1,Rainy,,9,Music Festival,77,1,3.5,43,0.8873320373836515,0.9422829861794553,45,Spa Package,19.0
1049,0.13479884263124664,0.20239571330647455,0.8863818059548147,0.08987688471573796,Couple,Budget,14,Sunny,,51,Cultural Fair,2,1,3.5,31,0.8508065167547768,0.8670604741577491,91,Adventure Trek,23.0
1050,0.4085079853357916,0.6858652231895092,0.7326816807736475,0.3021693713805522,Solo,Luxury,7,Snowy,,61,Wellness Expo,80,0,4.1,99,0.6749274756800332,0.37873238342685134,39,Spa Package,22.0
1051,0.6025712560800102,0.624804845669385,0.15302916123904964,0.686434662681042,Family,Luxury,5,Cloudy,,52,Cultural Fair,26,0,4.8,36,0.976048514123084,0.8357792883386501,93,Spa Package,24.0
1052,0.8558771925945607,0.6786047517720843,0.022613642428036984,0.48302270662580504,Family,Luxury,4,Rainy,,66,Music Festival,4,1,4.7,19,0.19697804938933428,0.6248348898272558,57,Cultural Museum Visit,38.0
1053,0.4385227698717369,0.6202161896464644,0.14642320602393166,0.8038399659103749,Couple,Budget,4,Cloudy,,64,Music Festival,92,1,3.8,2,0.11069427911661167,0.39106508971879106,78,Spa Package,38.0
1054,0.06567580735251888,0.4331770395991238,0.8680550948494875,0.6508160488717909,Solo,Mid-range,11,Cloudy,,79,Wellness Expo,95,0,3.6,21,0.9663130092442636,0.4888252306181863,47,Cultural Museum Visit,11.0
1055,0.5431132667873994,0.8098486656231366,0.20054396923584783,0.32539368125161494,Couple,Mid-range,14,Snowy,,52,Wellness Expo,76,0,4.2,24,0.227389766892368,0.45014366382239357,97,Spa Package,31.0
1056,0.1331543338351916,0.5073153980571133,0.060333655417483256,0.9446373154894663,Couple,Budget,11,Cloudy,,80,Wellness Expo,54,1,3.5,30,0.8878138495941429,0.4759288560102274,16,Adventure Trek,13.0
1057,0.3850103799080241,0.9170689165420551,0.9185820975075842,0.11210120702842008,Couple,Budget,10,Sunny,,18,Music Festival,43,1,3.8,1,0.9677596565694285,0.15676276029000424,19,Spa Package,25.0
1058,0.7175389175230951,0.57376326237726,0.174947131857905,0.5707576113745733,Solo,Mid-range,10,Rainy,,3,Cultural Fair,58,1,4.3,52,0.0025334407811948845,0.45928669320342486,72,Spa Package,23.0
1059,0.28649154872141547,0.292704001111179,0.9027495084589623,0.5468967774750857,Business,Mid-range,3,Sunny,,34,Wellness Expo,98,1,4.9,3,0.06207376884400784,0.19183281814163267,39,Indoor Wellness Retreat,21.0
1060,0.24657679882398664,0.9767740409447044,0.3713234074860473,0.09013491735317614,Couple,Budget,5,Rainy,,62,Wellness Expo,99,1,3.9,2,0.38787800422707086,0.8234910624600047,60,Indoor Wellness Retreat,28.0
1061,0.9781656534744841,0.7674496039805961,0.20156809442666757,0.2527153788963974,Solo,Mid-range,8,Snowy,,81,Food Carnival,93,0,3.7,46,0.3684411104438039,0.4063844481619213,60,Cultural Museum Visit,27.0
1062,0.5633667408179057,0.6509514451095355,0.8819144134303366,0.6053583504065849,Solo,Mid-range,5,Sunny,,30,Sports Event,72,1,4.0,85,0.6983843410149833,0.3957477499447726,78,Cultural Museum Visit,10.0
1063,0.583845333834368,0.9891423520394109,0.7245361403449534,0.2042149574944796,Family,Budget,11,Sunny,,24,Sports Event,52,1,4.5,38,0.6726615747537398,0.49733818196308655,64,City Tour,30.0
1064,0.9487841036571439,0.956487554959102,0.06037822059386888,0.9588275811567615,Family,Mid-range,10,Snowy,,54,Sports Event,95,1,4.9,27,0.437193638515321,0.7807808074054434,96,Adventure Trek,35.0
1065,0.9114624036189283,0.7046657822917828,0.315038056709778,0.47258581335871364,Solo,Luxury,5,Sunny,,64,Music Festival,25,1,5.0,48,0.06307248225877615,0.9455923495024136,4,Adventure Trek,19.0
1066,0.4929293822644728,0.3423527904651119,0.402675275479324,0.7329712187883023,Couple,Budget,12,Rainy,,9,Sports Event,20,0,4.3,91,0.6447236044038278,0.26374029600292337,32,Food Experience,34.0
1067,0.5551264324972698,0.43523178102212146,0.9355289403817633,0.6406216553932824,Family,Budget,8,Snowy,,87,Wellness Expo,28,0,4.5,42,0.6879193976253217,0.8294670982199673,70,City Tour,27.0
1068,0.4327551578222639,0.9589063931097087,0.709717422182975,0.9032773636703335,Couple,Luxury,5,Cloudy,,47,Wellness Expo,26,0,4.3,8,0.7812090988454147,0.23991025029687363,75,Indoor Wellness Retreat,17.0
1069,0.28963842966719733,0.20837941566706242,0.17991035014343038,0.617708472726616,Solo,Budget,7,Cloudy,,3,Cultural Fair,86,0,3.5,2,0.7160201158925197,0.37577184784788376,80,Cultural Museum Visit,10.0
1070,0.06426501020940323,0.05165786804378447,0.9977183716514363,0.2980555955600672,Couple,Mid-range,10,Sunny,,43,Sports Event,31,1,4.1,98,0.8744044901593113,0.7689405866388297,54,City Tour,15.0
1071,0.38835012488966236,0.1774940761967163,0.7704084861306171,0.7255574538818872,Solo,Budget,13,Sunny,,73,Wellness Expo,61,1,3.7,44,0.7895137981182212,0.6503531687474886,52,Spa Package,16.0
1072,0.9091917589647637,0.3413570748319599,0.8577888527001419,0.6661325509740227,Business,Luxury,4,Sunny,,46,Music Festival,74,1,4.6,28,0.14022707106725596,0.24057489832144996,82,Spa Package,14.0
1073,0.10491886596352873,0.163224347243202,0.28454297194842215,0.7138638024431888,Couple,Budget,11,Cloudy,,0,Music Festival,62,0,4.8,58,0.951054677413461,0.10726041385526242,20,City Tour,21.0
1074,0.5424701339164831,0.10384260018779112,0.9138902748402148,0.6955524579828466,Family,Mid-range,14,Sunny,,44,Wellness Expo,80,1,3.6,64,0.6049934838875562,0.50851549054076,55,Cultural Museum Visit,35.0
1075,0.13704038842368893,0.8035889004943002,0.3538768454898389,0.6757643383794956,Family,Luxury,1,Rainy,,43,Sports Event,21,0,3.8,26,0.6604539747597385,0.8844840251222476,2,Indoor Wellness Retreat,30.0
1076,0.025264571031659466,0.1400287267365079,0.3904665884904043,0.0024650299362134476,Business,Budget,2,Rainy,,19,Food Carnival,83,1,4.7,63,0.23732218012746198,0.29683534053882354,5,Food Experience,10.0
1077,0.023587975114710558,0.23383088122698104,0.7208778838557215,0.0780885652946447,Solo,Mid-range,7,Cloudy,,12,Music Festival,22,0,3.6,17,0.4904450950412632,0.3288049057948914,21,Spa Package,33.0
1078,0.05582356991623483,0.5391660915777847,0.03816673012502958,0.4529110752405513,Solo,Mid-range,2,Rainy,,23,Cultural Fair,36,1,4.0,34,0.7220556491313809,0.8328835562154857,44,City Tour,12.0
1079,0.5684035565135048,0.7826457827590536,0.22680250719846817,0.9711684533791473,Couple,Mid-range,11,Sunny,,48,Music Festival,84,1,3.6,66,0.47582467025547714,0.1692806961545169,19,Cultural Museum Visit,24.0
1080,0.8267376887672118,0.924013461358191,0.6568676320210124,0.8236192372971942,Business,Luxury,10,Snowy,,9,Food Carnival,93,0,4.4,55,0.8262282518117353,0.10584570651523761,4,Adventure Trek,12.0
1081,0.6832547332422528,0.888600464696909,0.7487903278341563,0.9454049882108455,Family,Budget,2,Rainy,,1,Wellness Expo,77,1,3.7,68,0.33582784321113,0.46699227256187126,56,City Tour,20.0
1082,0.9391072849086037,0.8243949052364506,0.0050827163603265335,0.003764931123663273,Couple,Budget,5,Cloudy,,42,Cultural Fair,39,0,3.8,31,0.3528824042973766,0.5196065106115461,44,City Tour,24.0
1083,0.7226771497683164,0.5038057883573609,0.08122442253710682,0.5081029298308072,Solo,Mid-range,10,Cloudy,,61,Cultural Fair,31,1,3.8,63,0.5147482055777512,0.6408630614482476,75,Indoor Wellness Retreat,27.0
1084,0.1579666802980193,0.2964113090604096,0.7847454825943397,0.2086778948464889,Family,Budget,12,Rainy,,11,Food Carnival,79,0,4.2,35,0.19129101124499248,0.9096574031279894,10,Food Experience,27.0
1085,0.002653048352827203,0.5015300078958961,0.14285525680189348,0.00503128315026824,Couple,Luxury,8,Rainy,,30,Food Carnival,87,0,4.7,34,0.6104973696895171,0.5552824276078253,66,Indoor Wellness Retreat,25.0
1086,0.592754344843247,0.6868521777884968,0.09205254867757573,0.9888694409777197,Couple,Luxury,8,Snowy,,65,Sports Event,4,0,4.9,47,0.25847876290377436,0.06579441913757533,34,Cultural Museum Visit,39.0
1087,0.8449022100972347,0.7881061722977379,0.42760362817193087,0.14303464547490974,Solo,Budget,9,Cloudy,,98,Music Festival,8,1,4.2,55,0.951062963811015,0.8266597101106867,45,Food Experience,17.0
1088,0.12574721387224475,0.7433552590658085,0.371005929778765,0.3520300012860824,Solo,Budget,10,Snowy,,77,Food Carnival,76,0,4.0,83,0.8562304717061544,0.39987935643488526,44,City Tour,21.0
1089,0.790476091026452,0.9762034735850886,0.30311677150407057,0.7274364141494856,Solo,Mid-range,13,Rainy,,11,Wellness Expo,3,1,3.6,47,0.7575016957362318,0.16078592271556236,56,Adventure Trek,28.0
1090,0.4427474571762361,0.18117235449956604,0.21039774211868179,0.687745170093976,Family,Luxury,6,Sunny,,56,Sports Event,43,0,4.9,91,0.11427364792949712,0.10479759929411347,19,Indoor Wellness Retreat,36.0
1091,0.09161331775409576,0.5234408127969402,0.5466663789248134,0.2881697720804224,Solo,Luxury,1,Sunny,,98,Cultural Fair,11,0,3.6,4,0.8003997500806668,0.5140647480866435,6,Indoor Wellness Retreat,19.0
1092,0.6155506167699892,0.8152731910528103,0.8145935517284983,0.8847941624473685,Couple,Budget,7,Snowy,,41,Wellness Expo,25,1,4.6,55,0.3848035114994889,0.6736955666810903,70,Spa Package,29.0
1093,0.26722637078392886,0.9390944689868099,0.8983851295285548,0.6115697702618511,Family,Luxury,3,Snowy,,87,Music Festival,29,1,4.6,77,0.7901762582071234,0.5067434324088338,35,Food Experience,30.0
1094,0.4059256718886335,0.8255545408961198,0.026383588161030813,0.25073551492140644,Solo,Mid-range,13,Snowy,,95,Cultural Fair,46,0,4.3,27,0.6115982536505481,0.44977452970195664,67,Food Experience,26.0
1095,0.04775814855387084,0.7784161058185829,0.4206614161355321,0.6340320620406785,Business,Luxury,4,Rainy,,77,Sports Event,5,0,4.9,36,0.5164065840836458,0.9780616705415952,93,Adventure Trek,26.0
1096,0.11212359921822246,0.5541443234854159,0.6189130520709791,0.21658339860530507,Solo,Mid-range,2,Rainy,,33,Music Festival,38,0,3.8,96,0.28440423685652494,0.11227922728595363,17,Spa Package,19.0
1097,0.723342909890155,0.959836155272631,0.7822334611979221,0.18134624786461218,Couple,Budget,8,Rainy,,73,Cultural Fair,88,1,4.5,45,0.8829956220461952,0.8390096388342243,84,City Tour,12.0
1098,0.44987277462965014,0.36169473538128216,0.05913055970389025,0.7371616952335016,Couple,Mid-range,13,Rainy,,33,Cultural Fair,50,0,4.5,43,0.10564656843281817,0.2204754042007956,72,Adventure Trek,25.0
1099,0.6586895865995728,0.4745987132647288,0.6382622024010032,0.9301638760247416,Business,Mid-range,12,Rainy,,13,Sports Event,91,1,4.7,58,0.5854548211256463,0.7430415609228195,57,Cultural Museum Visit,39.0
1100,0.12386324957015027,0.5334374397546733,0.21841944567038252,0.84569517942447,Solo,Luxury,4,Cloudy,,45,Food Carnival,80,1,4.9,86,0.8414146201834183,0.27586116121840853,13,Cultural Museum Visit,38.0
1101,0.7729610473447541,0.9934230119186522,0.9644735833965816,0.3703753602060078,Couple,Mid-range,12,Cloudy,,97,Cultural Fair,11,1,4.7,5,0.5765118736423624,0.7154990691092011,81,Adventure Trek,14.0
1102,0.6808046543276425,0.4585075121847194,0.44890384074698675,0.347217312328296,Couple,Luxury,14,Sunny,,48,Wellness Expo,3,1,4.9,0,0.8216370619279607,0.3886571165441468,37,Adventure Trek,26.0
1103,0.43182849889527763,0.45465922810978876,0.6198081581032627,0.3197200040402909,Business,Budget,5,Cloudy,,49,Wellness Expo,99,0,4.3,31,0.5810744629546671,0.2991876231028132,39,Food Experience,20.0
1104,0.12805186221439535,0.6261956391314697,0.44358029433226187,0.9800507472344567,Business,Budget,2,Snowy,,18,Cultural Fair,55,0,4.2,86,0.7617018227602128,0.36272850829198067,23,Adventure Trek,33.0
1105,0.8730025810377392,0.6629870604453503,0.722200068172454,0.9636482388210174,Business,Mid-range,4,Sunny,,45,Music Festival,89,1,4.9,55,0.8295099354535271,0.7813817939584371,91,Adventure Trek,26.0
1106,0.2394087877291846,0.8498372179960606,0.4559459597364611,0.2614711464292633,Couple,Budget,1,Sunny,,45,Music Festival,95,0,3.8,73,0.9742258513234036,0.4204434270143894,2,City Tour,25.0
1107,0.8784779515052339,0.27502153518718997,0.19920628164714793,0.034529835906240036,Solo,Luxury,10,Sunny,,12,Sports Event,25,0,4.7,17,0.9105718302237403,0.6898530322964398,29,Indoor Wellness Retreat,32.0
1108,0.9211566297318078,0.4044210164922465,0.3622532002052592,0.837175045971908,Family,Luxury,12,Snowy,,73,Sports Event,34,1,3.8,37,0.605319270120379,0.24508202851226146,73,Cultural Museum Visit,12.0
1109,0.8580649599172796,0.011616178441320457,0.17185274950428464,0.41721460384253994,Couple,Luxury,1,Cloudy,,85,Music Festival,58,0,3.9,44,0.5980795662661174,0.42984283334383955,72,Cultural Museum Visit,16.0
1110,0.6039759850438041,0.036153584213691414,0.7454773254570902,0.389420265071594,Couple,Luxury,13,Snowy,,1,Cultural Fair,86,1,3.7,53,0.20271048079606413,0.749795374258892,1,Cultural Museum Visit,17.0
1111,0.4699876781704908,0.8366267868298467,0.9275658898385689,0.003938318336246804,Couple,Luxury,10,Rainy,,10,Wellness Expo,15,0,4.1,10,0.08220809476088997,0.12005215669130564,63,Spa Package,25.0
1112,0.033883292913239216,0.6511062122515662,0.2378984166432636,0.3456715749178839,Couple,Budget,4,Sunny,,65,Cultural Fair,93,1,4.9,4,0.17866756147606866,0.2686546280385821,61,Cultural Museum Visit,12.0
1113,0.8136967903669085,0.5520280397387877,0.16588343441691966,0.4812124837760653,Family,Luxury,2,Sunny,,64,Food Carnival,92,1,4.9,34,0.8890598964630939,0.9991074084698524,86,Cultural Museum Visit,34.0
1114,0.06090093767940408,0.4165464162838327,0.6451621369496092,0.6760329352892089,Business,Budget,5,Cloudy,,42,Wellness Expo,7,0,3.6,6,0.5026918110714907,0.5177567628287008,31,Spa Package,33.0
1115,0.4879165690803199,0.6474930476539741,0.1823882323456678,0.34244006270583016,Couple,Luxury,13,Sunny,,43,Music Festival,67,1,4.8,93,0.07837015079747556,0.1808761715079088,76,Spa Package,14.0
1116,0.41606414142889403,0.5338532135678876,0.9643437336308945,0.8154371820132111,Business,Mid-range,10,Sunny,,54,Food Carnival,47,0,4.6,90,0.15485945828505332,0.1564876469199855,21,City Tour,17.0
1117,0.6622107737195584,0.9699677941851618,0.948295701946324,0.7407888475407213,Couple,Budget,13,Sunny,,4,Music Festival,45,0,4.1,24,0.6616504341996214,0.6269907983368791,2,Food Experience,30.0
1118,0.856877030909111,0.19852564215303692,0.5731829061329178,0.7535317948730208,Solo,Luxury,7,Snowy,,80,Music Festival,9,1,4.7,34,0.05437085568998157,0.5743153178379489,49,Indoor Wellness Retreat,38.0
1119,0.0008063391309860446,0.6743378684019001,0.20784755942050914,0.17348613914760758,Family,Mid-range,8,Snowy,,35,Sports Event,10,1,4.1,43,0.605705074647616,0.5422686536290284,42,Food Experience,14.0
1120,0.7012550380937227,0.16419234073992472,0.5719590146274469,0.41947731062499216,Business,Luxury,3,Rainy,,86,Music Festival,50,0,4.4,50,0.396797030544924,0.060443640498997975,17,Adventure Trek,39.0
1121,0.26005420264557033,0.7780133627131794,0.4271785135275967,0.6705763398540376,Couple,Luxury,9,Rainy,,43,Wellness Expo,4,0,3.9,50,0.3040775897347743,0.25829238226266915,70,Indoor Wellness Retreat,11.0
1122,0.4695683666207252,0.6262351687991067,0.9646157290481603,0.3824300894850824,Solo,Luxury,4,Sunny,,91,Cultural Fair,5,1,4.2,48,0.5621757588868583,0.12349992573974633,75,Cultural Museum Visit,36.0
1123,0.20490478471797258,0.90030323908769,0.5796601814244087,0.0697132256305586,Solo,Budget,7,Cloudy,,62,Food Carnival,3,0,3.8,24,0.5092992897765984,0.4311221069408384,67,Adventure Trek,31.0
1124,0.04583407422525776,0.7803017001007742,0.9029209641058344,0.4754682149229511,Family,Luxury,10,Snowy,,83,Music Festival,86,1,3.7,56,0.623365942827076,0.8238513703463809,92,Cultural Museum Visit,12.0
1125,0.12602406586895099,0.6498750280412378,0.8656414521554963,0.2003493448176733,Business,Mid-range,10,Snowy,,62,Wellness Expo,94,1,4.8,50,0.14656965723268622,0.754368166870446,89,Food Experience,28.0
1126,0.7240476752626471,0.7984275566592889,0.8111744115493078,0.45332091905980154,Business,Mid-range,9,Rainy,,56,Sports Event,67,0,4.6,68,0.8847662078595145,0.40291918510184077,1,Food Experience,33.0
1127,0.7327175643796989,0.4106414077935816,0.20956303430063705,0.5858443480734239,Couple,Budget,12,Rainy,,97,Food Carnival,60,1,4.8,82,0.3876677125631759,0.71960836382703,75,Spa Package,16.0
1128,0.0631663451844039,0.051863255420594556,0.8949312694951457,0.7471038399128987,Business,Budget,4,Cloudy,,39,Sports Event,69,0,4.7,44,0.3767534398372946,0.45316928189310435,16,City Tour,35.0
1129,0.13202143066081184,0.9775401347215172,0.5108569029588823,0.7836924493444756,Family,Luxury,4,Cloudy,,78,Sports Event,58,0,4.1,21,0.3581726141341295,0.963011266736937,7,Spa Package,27.0
1130,0.28346819389572064,0.1235347704103461,0.7086584815411813,0.5912092771639111,Couple,Budget,14,Snowy,,38,Cultural Fair,55,0,3.8,86,0.09772581483122078,0.4113505927664386,76,Spa Package,38.0
1131,0.6668311041746602,0.6694993347995346,0.2867686715877361,0.2808609983996664,Solo,Mid-range,4,Snowy,,83,Sports Event,27,1,4.2,52,0.47427078093896535,0.18976532054820117,94,Food Experience,11.0
1132,0.9211180471677705,0.6028274728252004,0.6962503711539406,0.9130778614749083,Couple,Mid-range,4,Sunny,,52,Music Festival,56,1,3.7,1,0.712458570787807,0.011881563770268166,19,Cultural Museum Visit,16.0
1133,0.12789756967052934,0.6246603809569642,0.26706910079272883,0.5739384316630929,Family,Budget,7,Cloudy,,40,Sports Event,3,1,4.1,58,0.9356554604550142,0.5056891280170371,8,City Tour,20.0
1134,0.9892050663339756,0.05650197890064779,0.7328198121370575,0.12388896882148415,Family,Mid-range,2,Sunny,,57,Music Festival,12,0,4.0,95,0.4732147679560933,0.917725991480575,79,Adventure Trek,27.0
1135,0.5902280831107456,0.6686890437517278,0.7669761102098303,0.915169788467279,Solo,Mid-range,1,Cloudy,,1,Cultural Fair,45,1,3.6,6,0.39457724751895695,0.817374338138742,25,Indoor Wellness Retreat,26.0
1136,0.24380705501994493,0.7185042014020199,0.7719149646495652,0.41142968638829525,Business,Luxury,14,Snowy,,14,Sports Event,62,0,4.1,51,0.37236655669059493,0.9999887093924934,51,Adventure Trek,32.0
1137,0.09500771394313745,0.24086779242258594,0.11980310933565141,0.6655498237437003,Business,Mid-range,7,Sunny,,68,Sports Event,30,0,4.1,98,0.6006058838414149,0.17712912239787226,67,Spa Package,33.0
1138,0.19177921331629488,0.47130735270762214,0.28238891171684855,0.7958199236605631,Couple,Mid-range,4,Sunny,,95,Music Festival,37,0,4.7,10,0.8375177411205095,0.14100910339833084,90,Food Experience,14.0
1139,0.3080911225409756,0.07578340037513576,0.09123066050519202,0.09038397293872413,Business,Mid-range,3,Rainy,,92,Music Festival,41,1,4.6,40,0.21349087780437692,0.7018608587599701,85,Adventure Trek,26.0
1140,0.43077763656942136,0.159761338685517,0.8041901044891953,0.3168885153967351,Couple,Mid-range,2,Rainy,,95,Food Carnival,84,0,3.6,83,0.5879411244336966,0.8267045215213767,97,Cultural Museum Visit,39.0
1141,0.6717373765133823,0.5803588344778989,0.22711639722838295,0.24473881355697658,Solo,Luxury,4,Rainy,,6,Music Festival,80,0,5.0,24,0.4597198794467011,0.38909620870490613,99,Cultural Museum Visit,29.0
1142,0.92332296144576,0.3387134478470417,0.7662194555293834,0.9598085495908196,Business,Luxury,4,Sunny,,63,Music Festival,46,0,4.8,65,0.6832294154624469,0.16290894666087985,93,Spa Package,35.0
1143,0.004946024871963939,0.5279372592743404,0.15632111634134915,0.2967543315170139,Family,Luxury,2,Snowy,,93,Wellness Expo,2,1,4.5,90,0.34002786922253503,0.20303105967198032,40,Adventure Trek,30.0
1144,0.18481102023464901,0.9426701527907116,0.11339146823383062,0.7756669436409543,Family,Budget,7,Rainy,,56,Sports Event,7,1,4.1,30,0.7467333196997703,0.354890820330265,43,Food Experience,34.0
1145,0.618443328194911,0.005601997503230538,0.2868088658840935,0.687841656274491,Family,Budget,12,Rainy,,27,Wellness Expo,23,1,3.9,14,0.8742435122673708,0.37968577365728184,8,Adventure Trek,16.0
1146,0.09960824441542315,0.062097369334475405,0.03915843125589713,0.7963239903006882,Business,Luxury,5,Cloudy,,41,Music Festival,37,1,4.3,86,0.6941959515373136,0.690362268569881,62,Spa Package,30.0
1147,0.053349631539497344,0.8155362622960627,0.7346690946998654,0.5631234007445471,Family,Budget,1,Sunny,,75,Wellness Expo,49,0,3.9,94,0.812510944543947,0.9797986161906479,44,City Tour,20.0
1148,0.2423852206349021,0.17501733442377043,0.44054332680976505,0.4585582388438385,Couple,Budget,2,Cloudy,,29,Sports Event,49,1,4.9,7,0.7652798347066141,0.8705499634842603,74,Adventure Trek,27.0
1149,0.8184039114971322,0.41493957267239356,0.34787391794692313,0.5737365087841243,Couple,Mid-range,9,Rainy,,14,Wellness Expo,85,1,4.2,73,0.915716118302363,0.6858341267408407,23,Cultural Museum Visit,39.0
1150,0.15028779420597127,0.3221734263485996,0.47780974137700805,0.7041478407043359,Couple,Luxury,9,Snowy,,47,Music Festival,55,1,4.0,84,0.9351645352061859,0.6926465122356962,0,Cultural Museum Visit,29.0
1151,0.8015671778901629,0.6011706440101017,0.5460185735840632,0.81721261587619,Couple,Luxury,10,Rainy,,12,Sports Event,70,1,4.8,78,0.09851036261015944,0.03672607988807941,18,City Tour,24.0
1152,0.3501806182492555,0.7040767571111499,0.2734050359248019,0.7556770901153568,Solo,Mid-range,14,Sunny,,52,Wellness Expo,65,0,3.6,54,0.5906322104694968,0.7072143793419494,41,City Tour,14.0
1153,0.052007665106081125,0.16361788766337304,0.5327642646973992,0.39512023564629983,Business,Luxury,12,Cloudy,,66,Wellness Expo,9,1,4.7,57,0.18400912323546692,0.7583010718091652,49,City Tour,28.0
1154,0.11804681787092741,0.45935700701296334,0.11046415488454842,0.8285443697010926,Solo,Budget,7,Rainy,,90,Sports Event,52,1,3.6,21,0.5193582368346576,0.2981671347802909,77,Cultural Museum Visit,24.0
1155,0.6222434837622854,0.9753586016234644,0.472059409353078,0.3278812439865868,Solo,Luxury,8,Cloudy,,84,Wellness Expo,46,1,4.0,18,0.9918521455151014,0.6478701459729977,58,Indoor Wellness Retreat,15.0
1156,0.2190343920266017,0.1167057942111761,0.4390099795538114,0.8292340746081738,Business,Luxury,13,Rainy,,26,Cultural Fair,17,1,4.1,61,0.7789415732847741,0.008227560563280223,48,Food Experience,17.0
1157,0.10755208686548468,0.5514782510915702,0.6137298089076587,0.29520591151469056,Couple,Luxury,10,Cloudy,,79,Wellness Expo,58,1,4.8,96,0.987963598031578,0.48498987176302777,47,Spa Package,13.0
1158,0.01992469135398789,0.3420036075296934,0.7277459323727792,0.5501576791630474,Couple,Budget,1,Snowy,,37,Music Festival,57,0,3.8,76,0.06924701659459487,0.6251484182934345,81,Spa Package,34.0
1159,0.6115903838850785,0.8427117843119897,0.4094568014484262,0.9159808260102764,Business,Budget,12,Snowy,,11,Cultural Fair,66,0,4.0,67,0.8938383466889309,0.1091586439529375,29,Adventure Trek,26.0
1160,0.32259757239849196,0.7183541981929732,0.32465046557819377,0.9147211855276071,Couple,Budget,10,Sunny,,22,Music Festival,4,0,4.6,51,0.23676032211554765,0.14119430364604746,69,City Tour,32.0
1161,0.6552061346322471,0.940978504898777,0.41462416210035735,0.39167578339903675,Family,Luxury,1,Snowy,,22,Sports Event,69,1,4.0,31,0.5948931490264291,0.7950974145338964,41,Spa Package,25.0
1162,0.03654871243685298,0.5666640652107405,0.26033930574113684,0.8688785832372147,Couple,Mid-range,13,Sunny,,86,Wellness Expo,2,1,4.6,30,0.297836537283235,0.40701664613980704,91,Spa Package,30.0
1163,0.791856220840802,0.5262591248773364,0.8284563457612427,0.8483282725922425,Family,Mid-range,6,Snowy,,42,Food Carnival,63,0,4.3,90,0.4357446697621037,0.9278654916871126,63,City Tour,22.0
1164,0.13186284357232536,0.027584571158309368,0.5280882539400944,0.09132196645191881,Solo,Mid-range,4,Snowy,,31,Food Carnival,4,0,4.9,38,0.9098510272133764,0.006916634001066235,79,Cultural Museum Visit,26.0
